sample_id	mags	lat	lon	microntology
SAMEA10740544	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741273	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740382	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740706	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741435	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740625	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741354	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740463	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741192	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741516	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740940	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741831	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741750	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741912	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740229	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740067	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741039	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740148	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740175	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741228	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740337	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741066	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
